month,company_id,export_amt,import_amt,net_exposure,hedge_ratio,policy_version
2022-12-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-01-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-02-28,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-03-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-04-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-05-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-06-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-07-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-08-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-09-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-11-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2023-12-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-01-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-02-29,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-03-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-04-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-05-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-06-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-07-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-08-31,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-09-30,24,0.0,0.0,0.0,0.0,ML_enhanced
2024-10-31,24,80000.0,0.0,80000.0,0.3,ML_enhanced
2022-01-31,25,30000.0,0.0,30000.0,0.3,ML_enhanced
2022-02-28,25,40000.0,0.0,40000.0,0.3,ML_enhanced
2022-01-31,26,0.0,210000.0,-210000.0,0.5,ML_enhanced
2022-02-28,26,0.0,130000.0,-130000.0,0.5,ML_enhanced
2022-03-31,26,0.0,80000.0,-80000.0,0.3,ML_enhanced
2022-04-30,26,0.0,130000.0,-130000.0,0.5,ML_enhanced
2022-05-31,26,0.0,140000.0,-140000.0,0.5,ML_enhanced
2022-06-30,26,0.0,120000.0,-120000.0,0.5,ML_enhanced
2022-07-31,26,0.0,60000.0,-60000.0,0.3,ML_enhanced
2022-08-31,26,0.0,190000.0,-190000.0,0.5,ML_enhanced
2022-09-30,26,0.0,170000.0,-170000.0,0.5,ML_enhanced
2022-10-31,26,0.0,140000.0,-140000.0,0.5,ML_enhanced
