company_id,trades,pnl_sum,pnl_mean,pnl_std
61,22,-230.43071736757835,-10.474123516708106,20.425564119421676
62,31,-27475.50435344005,-886.3065920464533,2527.2174629747774
63,3,6819.39087379221,2273.13029126407,4295.664477692578
64,2,-778.2736988996973,-389.1368494498486,1478.2761953168244
65,1,-809.1690096346291,-809.1690096346291,
66,8,-323.3958659257015,-40.42448324071269,56.86867308945568
68,5,-31660.295766584477,-6332.059153316895,13240.269022075961
69,16,-12504.985741934817,-781.5616088709261,5001.970482737365
70,8,-4936.374842582467,-617.0468553228084,1269.334427296357
71,8,-3581.5063143774096,-447.6882892971762,541.8970701231844
72,11,-191.92663891154507,-17.447876264685917,36.26547240057641
73,1,-367.8040952884678,-367.8040952884678,
74,9,-7580.26911658253,-842.2521240647255,1407.5422835210757
75,34,-117409.92117904892,-3453.23297585438,13228.1981156592
76,33,-14169.45983665475,-429.37757080771974,1334.0987372629193
77,33,-2601.214635741264,-78.82468593155345,357.21421593111006
78,5,-3789.26887716992,-757.853775433984,1515.9453887336658
79,15,-2576.215216228039,-171.74768108186927,454.6298579452604
80,3,-1231.1828808357031,-410.39429361190105,759.736285173291
82,1,-66.2047371519242,-66.2047371519242,
83,1,-1875.8008859711858,-1875.8008859711858,
84,4,-242.0155772474904,-60.5038943118726,498.9286628570635
86,3,-133.92675897402341,-44.64225299134114,483.57919477219343
87,12,-97.9705302833101,-8.164210856942509,152.21635983622036
88,5,-1279.7482866242603,-255.94965732485207,422.1211973774393
89,12,-355.3654827810525,-29.613790231754376,88.72236889028036
90,12,46.77428072769483,3.8978567273079023,1228.624933976027
91,31,-654.4666242106146,-21.11182658743918,376.0890777795808
92,26,-7927.014872705338,-304.8851874117438,1104.2485518703202
93,2,-739.8224950872709,-369.91124754363545,1089.3424703947235
94,2,-37.463654762833144,-18.731827381416572,35.92762045156706
95,2,-2126.5909160013302,-1063.2954580006651,1513.1636736349883
96,17,-319.4846673617177,-18.793215727159865,40.294812964945244
97,2,-282.24916583462647,-141.12458291731323,372.58859469273824
99,3,295.35109628797386,98.45036542932462,280.6495988008277
100,8,-5819.470250707558,-727.4337813384448,977.3134857379331
101,8,-9100.33482985173,-1137.5418537314663,1754.792274831499
103,13,-703.042015915779,-54.08015507044453,161.32811467000627
105,1,-44.13649143461613,-44.13649143461613,
106,3,-316.78421055245815,-105.59473685081939,1437.839478887434
107,17,-21390.337405753522,-1258.255141514913,3552.8633407092334
108,25,-687.6048357615938,-27.50419343046375,212.72399814216433
109,22,-1442.540187365742,-65.57000851662464,188.61504400866193
110,1,-88.27298286923227,-88.27298286923227,
111,22,-16270.031013897358,-739.5468642680618,2709.0062899351406
114,3,-30.737315754121532,-10.24577191804051,86.6855269878398
116,1,-625.2669619903952,-625.2669619903952,
117,5,-682.6439199811286,-136.52878399622574,212.90582002021833
118,7,-2670.8386599320006,-381.5483799902858,647.791236466938
119,1,-66.2047371519242,-66.2047371519242,
120,4,-19005.668184699338,-4751.4170461748345,7026.250799877542
121,21,-17903.716793271487,-852.5579425367375,2485.5755001689454
122,30,-2094.661790806285,-69.82205969354283,279.68151466747383
123,18,-696.1565529555439,-38.67536405308577,121.61594335699242
124,5,-1088.367654855212,-217.67353097104242,384.03220432830915
125,3,-306.29860841928996,-102.09953613976332,106.6012924448808
126,19,-252.78776484940585,-13.304619202600307,51.37818630105138
127,18,-1647.4198469836717,-91.52332483242621,489.51948361956545
128,32,-15781.202876495568,-493.1625898904865,1911.2358629435048
129,9,-19787.422343482576,-2198.6024826091752,4603.265931185437
130,16,-1250.2576999375801,-78.14110624609876,205.99238841237585
131,29,-1756.4392237757784,-60.566869785371665,234.28537395336227
132,16,-3698.6539846730134,-231.16587404206334,599.306223907452
133,7,-133.3559594155921,-19.050851345084588,21.030258072033583
134,4,-150.8868011859339,-37.721700296483476,81.13043828906301
135,1,-22.068245717308066,-22.068245717308066,
136,3,-634.2965210537479,-211.43217368458264,968.7926680760777
137,32,-49280.600217959,-1540.0187568112187,4556.397658407839
138,8,-2229.9597224402014,-278.7449653050252,524.612013878088
139,5,-1027.4634651051756,-205.4926930210351,257.64774046724534
140,2,-15.395409045525078,-7.697704522762539,20.323014255967543
141,4,-1909.1232838524616,-477.2808209631154,1059.4738970927388
142,21,-480.9581589063703,-22.90276947173192,54.53228269875623
143,5,-790.5286972532006,-158.1057394506401,602.9830640878589
144,1,-1618.3380192692582,-1618.3380192692582,
145,5,-1320.8649575403813,-264.1729915080763,689.6159242119529
146,1,-44.13649143461613,-44.13649143461613,
147,1,-22.068245717308066,-22.068245717308066,
148,1,-88.27298286923227,-88.27298286923227,
149,2,-906.1645648776035,-453.08228243880177,659.6287409373828
150,10,-134.92655153205612,-13.492655153205613,22.40377292364855
151,25,-1229.912257301289,-49.19649029205156,292.4849244191536
152,1,-1213.7535144519438,-1213.7535144519438,
153,6,-3189.973527424095,-531.6622545706825,1752.4046864619795
154,3,-35.06479218406858,-11.688264061356193,359.33264910218026
155,31,-921.3033647047013,-29.71946337757101,287.64416697478396
156,2,34.062356113455834,17.031178056727917,148.92257255581183
157,2,-465.2784975356842,-232.6392487678421,659.2901449735323
159,1,-22.068245717308066,-22.068245717308066,
160,9,-4669.55514637707,-518.8394607085634,752.5854413249784
161,20,-441.4917699041082,-22.07458849520541,111.9879043424107
162,4,-10949.479908669313,-2737.369977167328,7268.340349007759
163,8,-2986.374087074761,-373.29676088434513,854.0547376128836
164,8,-1098.8003469564521,-137.35004336955652,218.9382291469834
165,4,-491.24117692589107,-122.81029423147277,2420.5520777702363
166,4,178.2864588764075,44.57161471910187,148.285285226005
167,32,-5102.811917336424,-159.46287241676325,569.6208064627932
168,32,-807.4156489246835,-25.23173902889636,127.54022400088635
169,31,-716.3378456008691,-23.107672438737712,109.1465920200304
170,31,-3373.648908789443,-108.82738415449816,398.2053691342534
171,32,-650.221030360023,-20.319407198750717,49.624374166232705
172,26,-3597.279862508085,-138.3569177887725,399.22574486268206
173,2,-843.1629358906018,-421.5814679453009,652.1622660345589
177,9,-319.6115610669504,-35.5123956741056,335.72557239543045
179,4,3.293255454365415,0.8233138635913537,38.775078621262494
180,1,-22.068245717308066,-22.068245717308066,
181,19,-679.9414329622759,-35.78639120854084,113.56953492807978
182,1,-22.068245717308066,-22.068245717308066,
183,1,-1544.7772002115648,-1544.7772002115648,
184,7,-1635.6916829435277,-233.67024042050394,432.40535038882393
185,1,-88.27298286923227,-88.27298286923227,
186,6,-825.7446741352043,-137.62411235586737,277.9276403828143
187,1,-22.068245717308066,-22.068245717308066,
189,21,-7153.203501931606,-340.62873818721937,1083.8791672073037
190,1,-956.2906477500163,-956.2906477500163,
191,16,-2119.61895891824,-132.47618493239,3596.375953806358
192,4,11.406811025716024,2.851702756429006,294.0703422120124
193,3,-7.734982824613866,-2.578327608204622,95.03387644217008
196,20,-813.2510711305181,-40.66255355652591,146.72162408814043
197,35,-743.9189462288964,-21.254827035111326,265.21296774715
198,17,796.0345449303397,46.82556146649057,255.804532969725
199,31,-2066.9726820122423,-66.67653812942717,650.9574160593588
202,3,-2920.1815266897083,-973.3938422299028,1996.5910130687387
203,33,-28183.039113340525,-854.0314882830462,2235.156487760268
205,17,14407.314459618274,847.4890858598984,4169.642999711481
206,23,-257.44762206359815,-11.193374872330354,34.84932175602295
207,10,-43.75122611070823,-4.3751226110708235,38.80817080810121
208,4,-1258.3749284680698,-314.59373211701745,535.327415201018
209,8,-7352.270917297386,-919.0338646621733,1245.021637063485
210,6,-340947.4308652152,-56824.5718108692,123663.2127586364
211,4,-19328.43358823618,-4832.108397059045,96248.00549971218
212,3,245.44211257324702,81.81403752441567,508.57560066833685
