company_id,trade_month,fix_month,trade_date_bd,fix_date_bd,notional_usd,pnl_krw,actual_maturity_days,forward_price_30d,forward_price_adjusted,maturity_adjustment,status
153,2022-07-31,,2022-07-29,,229.99455654510103,0.0,,,,,open
154,2022-04-30,,2022-04-29,,5.426257420997983,0.0,,,,,open
155,2024-12-31,,2024-12-31,,219.54358049518748,0.0,,,,,open
156,2022-03-31,,2022-03-31,,59.086015425112635,0.0,,,,,open
157,2022-03-31,,2022-03-31,,172.71296816571385,0.0,,,,,open
158,2022-01-31,,2022-01-28,,367.5708811336264,0.0,,,,,open
159,2022-02-28,,2022-02-28,,2.7382546272958557,0.0,,,,,open
160,2022-10-31,,2022-10-31,,69.45307968116875,0.0,,,,,open
161,2024-12-31,,2024-12-31,,10.75315496302959,0.0,,,,,open
162,2022-05-31,,2022-05-31,,242.2240853512334,0.0,,,,,open
163,2022-11-30,,2022-11-30,,2.7646148593489817,0.0,,,,,open
164,2022-11-30,,2022-11-30,,5.529229718697963,0.0,,,,,open
165,2022-05-31,,2022-05-31,,2.742159456806416,0.0,,,,,open
166,2022-05-31,,2022-05-31,,2.742159456806416,0.0,,,,,open
167,2024-12-31,,2024-12-31,,201.62165555680482,0.0,,,,,open
168,2024-12-31,,2024-12-31,,18.818021185301784,0.0,,,,,open
169,2024-12-31,,2024-12-31,,16.129732444544388,0.0,,,,,open
170,2024-12-31,,2024-12-31,,10.75315496302959,0.0,,,,,open
171,2024-12-31,,2024-12-31,,10.75315496302959,0.0,,,,,open
172,2024-12-31,,2024-12-31,,58.246256049743614,0.0,,,,,open
173,2022-04-30,,2022-04-29,,58.784455394144814,0.0,,,,,open
174,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
175,2022-01-31,,2022-01-28,,10.890989070625968,0.0,,,,,open
176,2022-01-31,,2022-01-28,,19.059230873595446,0.0,,,,,open
177,2022-11-30,,2022-11-30,,59.89998861922793,0.0,,,,,open
179,2022-05-31,,2022-05-31,,2.742159456806416,0.0,,,,,open
180,2022-02-28,,2022-02-28,,10.953018509183423,0.0,,,,,open
181,2024-01-31,,2024-01-31,,10.961992469657096,0.0,,,,,open
182,2022-02-28,,2022-02-28,,2.7382546272958557,0.0,,,,,open
183,2022-02-28,,2022-02-28,,2.7382546272958557,0.0,,,,,open
184,2022-08-31,,2022-08-31,,5.52952178871399,0.0,,,,,open
185,2022-02-28,,2022-02-28,,73.02012339455615,0.0,,,,,open
186,2022-08-31,,2022-08-31,,5.52952178871399,0.0,,,,,open
187,2022-02-28,,2022-02-28,,45.637577121597594,0.0,,,,,open
188,2022-01-31,,2022-01-28,,10.890989070625968,0.0,,,,,open
189,2023-12-31,,2023-12-29,,10.936317679310601,0.0,,,,,open
190,2022-02-28,,2022-02-28,,95.83891195535494,0.0,,,,,open
191,2023-05-31,,2023-05-31,,77.49603573741916,0.0,,,,,open
192,2022-05-31,,2022-05-31,,73.12425218150443,0.0,,,,,open
193,2022-04-30,,2022-04-29,,8.139386131496973,0.0,,,,,open
194,2022-01-31,,2022-01-28,,117.98571493178133,0.0,,,,,open
195,2022-01-31,,2022-01-28,,21.781978141251937,0.0,,,,,open
196,2023-11-30,,2023-11-30,,8.195313287338934,0.0,,,,,open
197,2024-12-31,,2024-12-31,,62.72673728433928,0.0,,,,,open
198,2024-10-31,,2024-10-31,,10.854995095226048,0.0,,,,,open
199,2024-12-31,,2024-12-31,,80.64866222272194,0.0,,,,,open
200,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
201,2022-01-31,,2022-01-28,,45.3791211276082,0.0,,,,,open
202,2022-04-30,,2022-04-29,,171.83148499826945,0.0,,,,,open
203,2024-11-30,,2024-11-29,,99.17256532747483,0.0,,,,,open
204,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
205,2024-08-31,,2024-08-30,,5.388715256825671,0.0,,,,,open
206,2024-12-31,,2024-12-31,,5.376577481514795,0.0,,,,,open
207,2022-12-31,,2022-12-30,,5.505552592707856,0.0,,,,,open
208,2022-05-31,,2022-05-31,,19.19511619764491,0.0,,,,,open
209,2022-09-30,,2022-09-30,,82.95053313153983,0.0,,,,,open
210,2022-07-31,,2022-07-29,,27967.338075884287,0.0,,,,,open
211,2022-05-31,,2022-05-31,,196.52142773779315,0.0,,,,,open
212,2022-04-30,,2022-04-29,,45.21881184164985,0.0,,,,,open
213,2023-09-30,,2023-09-27,,5.479757445325305,0.0,,,,,open
214,2022-06-30,,2022-06-30,,78.25336968004675,0.0,,,,,open
215,2024-12-31,,2024-12-31,,2.6882887407573977,0.0,,,,,open
216,2022-01-31,,2022-01-28,,72.60659380417312,0.0,,,,,open
217,2023-01-31,,2023-01-31,,13.758879640880496,0.0,,,,,open
218,2022-04-30,,2022-04-29,,226.09405920824926,0.0,,,,,open
219,2022-11-30,,2022-11-30,,5.529229718697963,0.0,,,,,open
220,2024-01-31,,2024-01-31,,2.740498117414274,0.0,,,,,open
221,2023-06-30,,2023-06-30,,16.497460724093653,0.0,,,,,open
222,2024-12-31,,2024-12-31,,8.064866222272194,0.0,,,,,open
223,2024-08-31,,2024-08-30,,242.4921865571552,0.0,,,,,open
224,2022-03-31,,2022-03-31,,5.454093731548858,0.0,,,,,open
225,2022-02-28,,2022-02-28,,10.953018509183423,0.0,,,,,open
226,2022-12-31,,2022-12-30,,2.752776296353928,0.0,,,,,open
227,2024-03-31,,2024-03-29,,2.737794430488676,0.0,,,,,open
228,2024-12-31,,2024-12-31,,2.6882887407573977,0.0,,,,,open
229,2022-07-31,,2022-07-29,,87.3979314871384,0.0,,,,,open
230,2022-01-31,,2022-01-28,,54.454945353129844,0.0,,,,,open
231,2022-07-31,,2022-07-29,,19.31954274978849,0.0,,,,,open
232,2024-12-31,,2024-12-31,,8.064866222272194,0.0,,,,,open
233,2022-01-31,,2022-01-28,,13.613736338282461,0.0,,,,,open
234,2022-01-31,,2022-01-28,,158.8269239466287,0.0,,,,,open
235,2022-04-30,,2022-04-29,,67.82821776247478,0.0,,,,,open
236,2023-08-31,,2023-08-31,,10.94842412701406,0.0,,,,,open
237,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
238,2022-08-31,,2022-08-31,,105.98250095035148,0.0,,,,,open
239,2022-01-31,,2022-01-28,,63.53076957865148,0.0,,,,,open
240,2022-11-30,,2022-11-30,,46.07691432248303,0.0,,,,,open
241,2022-02-28,,2022-02-28,,10.953018509183423,0.0,,,,,open
242,2023-02-28,,2023-02-28,,104.83436926252521,0.0,,,,,open
243,2024-09-30,,2024-09-30,,10.807262125777445,0.0,,,,,open
244,2024-08-31,,2024-08-30,,67.3589407103209,0.0,,,,,open
245,2022-03-31,,2022-03-31,,136.35234328872147,0.0,,,,,open
246,2024-09-30,,2024-09-30,,2.7018155314443613,0.0,,,,,open
247,2024-11-30,,2024-11-29,,45.07843878521583,0.0,,,,,open
248,2023-07-31,,2023-07-31,,2.736358171317276,0.0,,,,,open
